자치구,year,표본수,비만율,평균BMI,평균걷기일수,평균수면,평균아침식사,흡연율
종로구,2019,222,28.38,23.270855855855856,5.013513513513513,6.40990990990991,2.5945945945945947,0.15765765765765766
종로구,2020,275,25.45,22.979636363636363,4.581818181818182,6.778181818181818,2.730909090909091,0.12
종로구,2021,234,26.07,22.915470085470087,4.777777777777778,6.696581196581197,2.8504273504273505,0.1794871794871795
종로구,2022,216,27.31,23.10189814814815,5.453703703703703,6.703703703703703,2.574074074074074,0.13425925925925927
종로구,2023,235,28.51,23.171404255319146,5.246808510638298,7.0,2.8851063829787233,0.11914893617021277
종로구,2024,215,25.12,23.09339534883721,5.488372093023256,6.665116279069768,2.6744186046511627,0.11162790697674418
종로구,2025,212,24.53,22.936650943396224,5.89622641509434,6.702830188679245,2.542452830188679,0.09433962264150944
중구,2019,267,27.34,23.033220973782772,5.411985018726591,6.674157303370786,2.636704119850187,0.16104868913857678
중구,2020,276,21.38,22.455797101449274,4.311594202898551,6.8731884057971016,2.5144927536231885,0.15217391304347827
중구,2021,307,26.06,23.13983713355049,4.785016286644951,6.716612377850163,2.6677524429967425,0.10423452768729642
중구,2022,296,21.96,22.607027027027026,5.1824324324324325,6.618243243243243,2.7364864864864864,0.1554054054054054
중구,2023,298,23.83,22.526610738255034,5.016778523489933,7.0,2.748322147651007,0.16778523489932887
중구,2024,274,25.91,22.94043795620438,5.510948905109489,6.693430656934306,2.5948905109489053,0.10948905109489052
중구,2025,259,23.55,22.83046332046332,5.046332046332046,6.652509652509653,2.675675675675676,0.14671814671814673
중랑구,2019,226,33.19,23.680884955752212,5.256637168141593,6.676991150442478,2.84070796460177,0.1504424778761062
중랑구,2020,292,29.11,23.703424657534246,4.763698630136986,6.756849315068493,2.797945205479452,0.1678082191780822
중랑구,2021,245,28.98,23.281918367346936,4.951020408163266,6.579591836734694,2.889795918367347,0.11836734693877551
중랑구,2022,202,34.65,23.792722772277227,5.128712871287129,6.628712871287129,2.8267326732673266,0.14356435643564355
중랑구,2023,225,31.11,23.538533333333334,5.226666666666667,7.0,2.88,0.18666666666666668
중랑구,2024,218,31.19,23.723577981651374,5.481651376146789,6.591743119266055,2.853211009174312,0.15137614678899083
중랑구,2025,211,31.28,23.662464454976302,5.919431279620853,6.630331753554502,2.914691943127962,0.16587677725118483
